date,visits
2019-04-01,19
2019-04-02,30
2019-04-03,34
2019-04-04,17
2019-04-05,18
2019-04-06,19
2019-04-07,16
2019-04-08,25
2019-04-09,24
2019-04-10,24
2019-04-11,23
2019-04-12,21
2019-04-13,21
2019-04-14,12
2019-04-15,29
2019-04-16,24
2019-04-17,32
2019-04-18,32
2019-04-19,15
2019-04-20,15
2019-04-21,8
2019-04-22,30
2019-04-23,26
2019-04-24,27
2019-04-25,27
2019-04-26,20
2019-04-27,21
2019-04-28,11
2019-04-29,35
2019-04-30,21
2019-04-01,9
2019-04-02,7
2019-04-03,10
2019-04-04,16
2019-04-05,10
2019-04-06,16
2019-04-07,13
2019-04-08,15
2019-04-09,10
2019-04-10,12
2019-04-11,9
2019-04-12,7
2019-04-13,8
2019-04-14,9
2019-04-15,10
2019-04-16,11
2019-04-17,6
2019-04-18,8
2019-04-19,10
2019-04-20,19
2019-04-21,21
2019-04-22,11
2019-04-23,15
2019-04-24,18
2019-04-25,18
2019-04-26,18
2019-04-27,22
2019-04-28,17
2019-04-29,11
2019-04-30,9
2019-04-01,3
2019-04-02,4
2019-04-03,6
2019-04-04,4
2019-04-05,5
2019-04-06,5
2019-04-07,4
2019-04-08,2
2019-04-09,3
2019-04-10,3
2019-04-11,3
2019-04-12,2
2019-04-13,3
2019-04-14,2
2019-04-15,1
2019-04-16,1
2019-04-17,3
2019-04-18,2
2019-04-19,2
2019-04-20,0
2019-04-21,3
2019-04-22,5
2019-04-23,3
2019-04-24,2
2019-04-25,3
2019-04-26,3
2019-04-27,1
2019-04-28,2
2019-04-29,3
2019-04-30,2
2019-04-01,55
2019-04-02,57
2019-04-03,91
2019-04-04,72
2019-04-05,100
2019-04-06,141
2019-04-07,85
2019-04-08,66
2019-04-09,86
2019-04-10,111
2019-04-11,85
2019-04-12,86
2019-04-13,109
2019-04-14,122
2019-04-15,111
2019-04-16,64
2019-04-17,76
2019-04-18,100
2019-04-19,126
2019-04-20,131
2019-04-21,91
2019-04-22,68
2019-04-23,96
2019-04-24,96
2019-04-25,88
2019-04-26,119
2019-04-27,145
2019-04-28,105
2019-04-29,113
2019-04-30,101
2019-04-01,22
2019-04-02,23
2019-04-03,34
2019-04-04,31
2019-04-05,34
2019-04-06,25
2019-04-07,25
2019-04-08,24
2019-04-09,28
2019-04-10,45
2019-04-11,51
2019-04-12,37
2019-04-13,24
2019-04-14,28
2019-04-15,30
2019-04-16,36
2019-04-17,47
2019-04-18,44
2019-04-19,35
2019-04-20,44
2019-04-21,28
2019-04-22,46
2019-04-23,36
2019-04-24,45
2019-04-25,41
2019-04-26,53
2019-04-27,42
2019-04-28,28
2019-04-29,40
2019-04-30,28
2019-04-01,6
2019-04-02,14
2019-04-03,7
2019-04-04,11
2019-04-05,11
2019-04-06,16
2019-04-07,18
2019-04-08,5
2019-04-09,6
2019-04-10,10
2019-04-11,12
2019-04-12,13
2019-04-13,27
2019-04-14,5
2019-04-15,7
2019-04-16,4
2019-04-17,6
2019-04-18,14
2019-04-19,15
2019-04-20,14
2019-04-21,2
2019-04-22,8
2019-04-23,12
2019-04-24,7
2019-04-25,13
2019-04-26,11
2019-04-27,15
2019-04-28,31
2019-04-29,8
2019-04-30,11
2019-04-01,33
2019-04-02,39
2019-04-03,31
2019-04-04,27
2019-04-05,34
2019-04-06,71
2019-04-07,69
2019-04-08,18
2019-04-09,57
2019-04-10,28
2019-04-11,38
2019-04-12,24
2019-04-13,72
2019-04-14,58
2019-04-15,6
2019-04-16,9
2019-04-17,4
2019-04-18,5
2019-04-19,12
2019-04-20,8
2019-04-21,6
2019-04-22,33
2019-04-23,35
2019-04-24,26
2019-04-25,37
2019-04-26,28
2019-04-27,75
2019-04-28,65
2019-04-29,15
2019-04-30,47
2019-04-01,5
2019-04-02,18
2019-04-03,6
2019-04-04,18
2019-04-05,10
2019-04-06,28
2019-04-07,10
2019-04-08,9
2019-04-09,20
2019-04-10,17
2019-04-11,10
2019-04-12,12
2019-04-13,13
2019-04-14,12
2019-04-15,22
2019-04-16,21
2019-04-17,20
2019-04-18,14
2019-04-19,20
2019-04-20,13
2019-04-21,17
2019-04-22,10
2019-04-23,17
2019-04-24,13
2019-04-25,13
2019-04-26,13
2019-04-27,15
2019-04-28,8
2019-04-29,17
2019-04-30,21
2019-04-01,63
2019-04-02,77
2019-04-03,71
2019-04-04,65
2019-04-05,53
2019-04-06,44
2019-04-07,59
2019-04-08,82
2019-04-09,64
2019-04-10,65
2019-04-11,67
2019-04-12,66
